Comparison,Accuracy,AUC,Precision,Recall
PD_V04_control_V04,0.5409444444444444,0.5771543209876543,0.5448835532563199,0.5123333333333334
PD_V04_control_V02,0.7841408450704225,0.8560301587301588,0.7849618521907266,0.7797142857142858
PD_V04_control_BL,0.5965131578947369,0.6239674515235457,0.5988429873284299,0.5915526315789473
PD_V04_control_V06,0.545651515151515,0.5524820936639118,0.5442166877481484,0.571939393939394
PD_V04_control_V08,0.566625,0.5924248046875,0.5662604782336402,0.5759375
PD_V02_control_V04,0.7841666666666667,0.8709081790123457,0.7848177175468349,0.7885277777777777
PD_V02_control_V02,0.5640845070422535,0.6131380952380953,0.5572273545729172,0.5681428571428571
PD_V02_control_BL,0.764921052631579,0.8443587257617728,0.7719766403339064,0.757157894736842
PD_V02_control_V06,0.8169090909090909,0.8885472910927456,0.8155028549412309,0.8248484848484847
PD_V02_control_V08,0.76796875,0.8601708984375,0.7771652245145487,0.75753125
PD_BL_control_V04,0.5835833333333332,0.6158958333333333,0.5907428754352866,0.5525277777777777
PD_BL_control_V02,0.7862253521126761,0.856297619047619,0.7869328048005455,0.7825428571428572
PD_BL_control_BL,0.5242236842105262,0.54996675900277,0.5256882540903401,0.5087105263157895
PD_BL_control_V06,0.579469696969697,0.6083719008264463,0.5814073464128746,0.5767575757575758
PD_BL_control_V08,0.58871875,0.6202041015625,0.5917735335639817,0.580125
PD_V06_control_V04,0.588486111111111,0.6253117283950617,0.5988398106959594,0.5425833333333333
PD_V06_control_V02,0.8093661971830987,0.885718253968254,0.8072443568982586,0.8106285714285716
PD_V06_control_BL,0.6076842105263158,0.6422825484764543,0.6109519327651798,0.5995526315789474
PD_V06_control_V06,0.5292121212121212,0.5455867768595041,0.5298521194449225,0.5232424242424243
PD_V06_control_V08,0.56709375,0.5796767578125,0.5664120468871295,0.58034375
PD_V08_control_V04,0.6276666666666667,0.6740108024691358,0.6322247061256381,0.61675
PD_V08_control_V02,0.8312535211267607,0.9112484126984127,0.8312871232858963,0.8293428571428573
PD_V08_control_BL,0.6233421052631579,0.6722084487534626,0.6324095232367231,0.5979210526315789
PD_V08_control_V06,0.5638333333333333,0.5953673094582187,0.5666793116736735,0.5535757575757576
PD_V08_control_V08,0.55815625,0.5862939453125,0.5616180541858721,0.53640625
