Comparison,Accuracy,AUC,Precision,Recall
Prodromal_V04_control_V04,0.7606666666666667,0.8281666666666666,0.7679881842100109,0.7633333333333333
Prodromal_V04_control_BL,0.73175,0.8250625,0.7419141173540942,0.7303333333333333
Prodromal_V04_control_V02,0.6936666666666668,0.7544722222222222,0.7049294736953792,0.6861666666666667
Prodromal_V04_control_V08,0.7781666666666668,0.8646319444444445,0.7894733091813588,0.773
Prodromal_V04_control_V06,0.800125,0.8695347222222222,0.8021120531429355,0.8121666666666667
Prodromal_BL_control_V04,0.5928333333333333,0.6298819444444445,0.5996597272911126,0.5825
Prodromal_BL_control_BL,0.6014583333333332,0.6359375,0.602148786103817,0.62275
Prodromal_BL_control_V02,0.687,0.7523472222222222,0.6834730917474339,0.7185
Prodromal_BL_control_V08,0.6237083333333333,0.6545972222222223,0.6230240950441027,0.6513333333333332
Prodromal_BL_control_V06,0.6522083333333334,0.6766388888888889,0.6552291659321071,0.66
Prodromal_V02_control_V04,0.784625,0.845486111111111,0.8029826701076702,0.7701666666666668
Prodromal_V02_control_BL,0.7589166666666668,0.8446805555555555,0.7553912829774285,0.7845
Prodromal_V02_control_V02,0.6622499999999999,0.7137986111111111,0.6705825463880805,0.6600833333333334
Prodromal_V02_control_V08,0.805,0.888375,0.8221657017002606,0.7904166666666667
Prodromal_V02_control_V06,0.8153333333333334,0.8801180555555557,0.8272601273081923,0.812
Prodromal_V08_control_V04,0.6505,0.66696875,0.678202380952381,0.64875
Prodromal_V08_control_BL,0.648375,0.7101875,0.6728261904761905,0.63825
Prodromal_V08_control_V02,0.632,0.68225,0.6539285714285713,0.60475
Prodromal_V08_control_V08,0.69175,0.7925,0.710654761904762,0.69775
Prodromal_V08_control_V06,0.764875,0.8791875,0.82305,0.72
Prodromal_V06_control_V04,0.8012083333333333,0.8703194444444444,0.8040111179541134,0.8111666666666667
Prodromal_V06_control_BL,0.7765833333333333,0.8526597222222223,0.7952392350984069,0.7611666666666668
Prodromal_V06_control_V02,0.717625,0.7996875,0.7248804535720558,0.7225
Prodromal_V06_control_V08,0.8090416666666668,0.8948819444444444,0.8285379422864717,0.7940833333333333
Prodromal_V06_control_V06,0.8444166666666667,0.8918333333333334,0.8529165706026001,0.8414166666666666
