Comparison,Accuracy,AUC,Precision,Recall
Prodromal_V06_PD_V06,0.7930833333333333,0.8543125,0.8071457961972669,0.78475
Prodromal_V06_PD_BL,0.7722916666666666,0.8605763888888889,0.7823680499239323,0.7715833333333334
Prodromal_V06_PD_V02,0.7527083333333333,0.8163680555555557,0.7576563685798207,0.7586666666666667
Prodromal_V06_PD_V04,0.80875,0.8667986111111111,0.8100580230098419,0.82075
Prodromal_V06_PD_V08,0.8111666666666666,0.8860972222222222,0.8328537145044497,0.7930833333333333
Prodromal_BL_PD_V06,0.5734583333333333,0.5831875,0.5762542849694166,0.5710833333333334
Prodromal_BL_PD_BL,0.6255833333333334,0.6414236111111111,0.627638077411065,0.63625
Prodromal_BL_PD_V02,0.711,0.7697916666666667,0.7130448984967561,0.7245
Prodromal_BL_PD_V04,0.6461666666666668,0.6677152777777778,0.651882459886175,0.65225
Prodromal_BL_PD_V08,0.5694583333333333,0.5997430555555555,0.5666848130498672,0.6015833333333334
Prodromal_V02_PD_V06,0.781875,0.8584652777777778,0.799902220328691,0.7684166666666667
Prodromal_V02_PD_BL,0.83,0.9216875,0.833043800562183,0.8381666666666667
Prodromal_V02_PD_V02,0.7052916666666667,0.7505138888888889,0.7110493767670237,0.7100833333333334
Prodromal_V02_PD_V04,0.7946666666666666,0.8810069444444445,0.797654777236008,0.8060833333333333
Prodromal_V02_PD_V08,0.8032083333333334,0.892263888888889,0.8110944788871259,0.807
Prodromal_V04_PD_V06,0.7734166666666668,0.8292291666666667,0.7817156548516844,0.7748333333333333
Prodromal_V04_PD_BL,0.7552083333333334,0.8361111111111111,0.7610122113997114,0.763
Prodromal_V04_PD_V02,0.7337916666666667,0.8014930555555556,0.7473020829832362,0.7265
Prodromal_V04_PD_V04,0.7664583333333334,0.8328055555555556,0.7770523520768877,0.7641666666666667
Prodromal_V04_PD_V08,0.7694166666666667,0.8491249999999999,0.7772044318426671,0.77275
Prodromal_V08_PD_V06,0.6765,0.77484375,0.6967357142857142,0.687
Prodromal_V08_PD_BL,0.762375,0.88546875,0.7957952380952381,0.76375
Prodromal_V08_PD_V02,0.539625,0.5471875,0.5405357142857142,0.5535
Prodromal_V08_PD_V04,0.755125,0.85828125,0.7789857142857143,0.7525
Prodromal_V08_PD_V08,0.68475,0.76784375,0.6947547619047618,0.73
