Comparison,Accuracy,AUC,Precision,Recall
Prodromal_V06_control_V06,0.8582083333333332,0.9356319444444444,0.8643799505233329,0.86225
Prodromal_V06_control_BL,0.8345,0.9263333333333332,0.8350328752001354,0.8494166666666666
Prodromal_V06_control_V02,0.7515416666666667,0.8239652777777778,0.757873062124494,0.7623333333333333
Prodromal_V06_control_V08,0.8394583333333334,0.9156736111111111,0.84315630929528,0.8468333333333332
Prodromal_V06_control_V04,0.9087083333333333,0.9667013888888888,0.9027308950036892,0.9239166666666666
Prodromal_BL_control_V06,0.576875,0.6024861111111111,0.5794227886492592,0.5845833333333332
Prodromal_BL_control_BL,0.557375,0.585201388888889,0.5609306849368382,0.55575
Prodromal_BL_control_V02,0.7189583333333333,0.8100069444444444,0.7311050963011876,0.7123333333333333
Prodromal_BL_control_V08,0.555875,0.5850347222222222,0.5611670610778969,0.53475
Prodromal_BL_control_V04,0.5202083333333333,0.5318958333333332,0.5203246902907893,0.5395833333333333
Prodromal_V02_control_V06,0.818125,0.8904027777777779,0.8270704952598141,0.8166666666666668
Prodromal_V02_control_BL,0.8083333333333333,0.898173611111111,0.8144553039839418,0.8153333333333332
Prodromal_V02_control_V02,0.6454166666666667,0.7108194444444446,0.6539643771991682,0.64
Prodromal_V02_control_V08,0.8011666666666667,0.8695,0.8075802277787573,0.8029166666666666
Prodromal_V02_control_V04,0.8402083333333333,0.9234097222222222,0.8357046695134931,0.8596666666666665
Prodromal_V08_control_V06,0.76625,0.868,0.7752285714285714,0.7835
Prodromal_V08_control_BL,0.752875,0.8539375,0.7811166666666667,0.748
Prodromal_V08_control_V02,0.647,0.699375,0.6815190476190476,0.629
Prodromal_V08_control_V08,0.714625,0.8149375,0.7433333333333333,0.727
Prodromal_V08_control_V04,0.704375,0.8203125,0.7160166666666666,0.72875
Prodromal_V04_control_V06,0.8480833333333333,0.9268611111111111,0.8516457550619316,0.8554166666666666
Prodromal_V04_control_BL,0.8399583333333333,0.922236111111111,0.8466793494087612,0.84375
Prodromal_V04_control_V02,0.6645416666666666,0.7201041666666668,0.6638249325107297,0.693
Prodromal_V04_control_V08,0.833,0.9135555555555556,0.8398371334547805,0.8375
Prodromal_V04_control_V04,0.89125,0.9584097222222223,0.9047138449656639,0.8834166666666667
