Comparison,Accuracy,AUC,Precision,Recall
Prodromal_V06_PD_V06,0.8042083333333333,0.8702569444444445,0.8158758388541284,0.7994166666666667
Prodromal_V06_PD_V04,0.8024166666666667,0.8696041666666667,0.799649836420889,0.8248333333333334
Prodromal_V06_PD_BL,0.805125,0.8926736111111111,0.8153693570189701,0.8049166666666667
Prodromal_V06_PD_V08,0.7590833333333333,0.8204513888888889,0.7713761811331085,0.75375
Prodromal_V06_PD_V02,0.8032083333333333,0.866451388888889,0.8098798129158424,0.8091666666666666
Prodromal_V04_PD_V06,0.8390833333333334,0.9224305555555556,0.8449203596326275,0.8456666666666668
Prodromal_V04_PD_V04,0.7715416666666667,0.8386597222222222,0.7660667888269281,0.8035
Prodromal_V04_PD_BL,0.80425,0.8830972222222222,0.807223206364499,0.8176666666666667
Prodromal_V04_PD_V08,0.7427916666666666,0.8195277777777779,0.7523283732607261,0.7410833333333332
Prodromal_V04_PD_V02,0.754,0.8138541666666668,0.7658114374187903,0.7489166666666667
Prodromal_BL_PD_V06,0.5825,0.6033819444444445,0.5884165205193843,0.5751666666666667
Prodromal_BL_PD_V04,0.5820833333333333,0.6206805555555557,0.5864251582825499,0.582
Prodromal_BL_PD_BL,0.5753333333333334,0.6199583333333333,0.5798187565014964,0.5674166666666668
Prodromal_BL_PD_V08,0.5399166666666666,0.5672083333333334,0.5421799167250018,0.5290833333333332
Prodromal_BL_PD_V02,0.7228333333333333,0.791125,0.7310457211562087,0.7255
Prodromal_V08_PD_V06,0.666625,0.787125,0.69125,0.65325
Prodromal_V08_PD_V04,0.765625,0.8370625,0.7809690476190476,0.782
Prodromal_V08_PD_BL,0.83075,0.929125,0.8382785714285714,0.8575
Prodromal_V08_PD_V08,0.75125,0.8401875,0.7711857142857144,0.75875
Prodromal_V08_PD_V02,0.575625,0.6265,0.5924238095238095,0.54575
Prodromal_V02_PD_V06,0.7926666666666666,0.8720277777777777,0.7997449933236699,0.7940833333333333
Prodromal_V02_PD_V04,0.7455833333333334,0.8142013888888889,0.7476149079549622,0.7628333333333333
Prodromal_V02_PD_BL,0.74525,0.8145138888888889,0.745651372397812,0.7633333333333333
Prodromal_V02_PD_V08,0.7122083333333332,0.7608680555555557,0.7276739980865368,0.6993333333333334
Prodromal_V02_PD_V02,0.6692916666666666,0.7148333333333333,0.6887705132801496,0.639
