Comparison,Accuracy,AUC,Precision,Recall
PD_V04_control_V04,0.5806388888888888,0.6270154320987654,0.5809934509671631,0.5859722222222221
PD_V04_control_V08,0.625140625,0.6742177734375,0.6336511667105889,0.60246875
PD_V04_control_V06,0.5739545454545455,0.6190358126721763,0.5789471997278519,0.5506060606060608
PD_V04_control_BL,0.6012368421052632,0.6453822714681442,0.6055382876999007,0.5893421052631579
PD_V04_control_V02,0.7941408450704225,0.869904761904762,0.7923317292231424,0.7943428571428571
PD_V08_control_V04,0.6397638888888889,0.6906550925925926,0.6398305224205499,0.6457777777777778
PD_V08_control_V08,0.561453125,0.5909375,0.565123614618082,0.54259375
PD_V08_control_V06,0.5809242424242425,0.6053544536271809,0.5818467066162529,0.5833636363636364
PD_V08_control_BL,0.621171052631579,0.6600554016620499,0.6236116878014375,0.6165526315789472
PD_V08_control_V02,0.8107183098591549,0.8827460317460318,0.7990824442561323,0.8280857142857144
PD_V06_control_V04,0.59375,0.6369560185185185,0.5908480041012287,0.6154444444444445
PD_V06_control_V08,0.562921875,0.598197265625,0.5605630729388406,0.58671875
PD_V06_control_V06,0.5322575757575757,0.5484830119375574,0.5312094184437393,0.5517575757575758
PD_V06_control_BL,0.6139473684210526,0.6603718836565097,0.6116662355720215,0.6309736842105264
PD_V06_control_V02,0.8088028169014085,0.8949007936507937,0.7972284612818982,0.8264285714285715
PD_BL_control_V04,0.6024305555555556,0.6447399691358024,0.607784585681485,0.5856666666666667
PD_BL_control_V08,0.57803125,0.609068359375,0.5828295206931747,0.558125
PD_BL_control_V06,0.565060606060606,0.6032038567493113,0.5727577336145311,0.5211212121212121
PD_BL_control_BL,0.5396842105263159,0.5580637119113574,0.5421761999737027,0.5176052631578948
PD_BL_control_V02,0.7803661971830986,0.8617666666666667,0.7779013701741522,0.7819142857142858
PD_V02_control_V04,0.799375,0.8714699074074074,0.8146659756446162,0.7801666666666668
PD_V02_control_V08,0.77171875,0.8450546875,0.7842960211259752,0.75559375
PD_V02_control_V06,0.7771666666666667,0.8492910927456382,0.7935560905851965,0.7548484848484849
PD_V02_control_BL,0.769157894736842,0.8415256232686982,0.7822828899064449,0.7511315789473686
PD_V02_control_V02,0.5638028169014085,0.5874301587301587,0.5604671489398889,0.5464285714285715
