Comparison,Accuracy,AUC,Precision,Recall
PD_V06_control_V06,0.4866818181818181,0.4920725436179981,0.4860026176059128,0.48233333333333334
PD_V06_control_V08,0.577953125,0.618310546875,0.578664422956058,0.58203125
PD_V06_control_BL,0.5791184210526317,0.6041260387811634,0.581982851440135,0.5685263157894738
PD_V06_control_V04,0.5736527777777778,0.5988248456790123,0.576971821598531,0.5596111111111111
PD_V06_control_V02,0.9144647887323943,0.9705063492063492,0.9193842246433495,0.9084857142857143
PD_V08_control_V06,0.5699848484848485,0.5947493112947659,0.5698803721569652,0.5792424242424242
PD_V08_control_V08,0.54759375,0.567728515625,0.54838377695611,0.54684375
PD_V08_control_BL,0.643671052631579,0.7080249307479225,0.6477081761143065,0.6374736842105262
PD_V08_control_V04,0.630361111111111,0.6811219135802469,0.6287874542416071,0.64425
PD_V08_control_V02,0.8999577464788732,0.9563650793650793,0.9001003090653673,0.8994000000000002
PD_BL_control_V06,0.538090909090909,0.5504334251606979,0.5394677251513319,0.5345757575757575
PD_BL_control_V08,0.60396875,0.6454765625,0.6061707826727689,0.602875
PD_BL_control_BL,0.5547105263157895,0.5686211911357341,0.5587317897765666,0.5317894736842105
PD_BL_control_V04,0.60325,0.6372060185185184,0.6055208356157401,0.599111111111111
PD_BL_control_V02,0.8961830985915493,0.9556666666666667,0.9006801676008115,0.8902285714285715
PD_V04_control_V06,0.5666666666666667,0.5946740128558311,0.5665616626032608,0.5776060606060608
PD_V04_control_V08,0.609421875,0.6499306640625,0.6097490237802871,0.617875
PD_V04_control_BL,0.573592105263158,0.6139916897506925,0.5755614729772331,0.5674736842105262
PD_V04_control_V04,0.5487638888888889,0.5874567901234569,0.5499331148784932,0.5468333333333333
PD_V04_control_V02,0.9251408450704225,0.9736190476190475,0.9335375093467164,0.915257142857143
PD_V02_control_V06,0.868030303030303,0.9369237832874197,0.8662226497295685,0.8748181818181817
PD_V02_control_V08,0.910484375,0.9666240234375,0.9137640223709593,0.90959375
PD_V02_control_BL,0.8622631578947368,0.9347922437673131,0.862219175602766,0.8662894736842106
PD_V02_control_V04,0.8830972222222223,0.9414390432098765,0.8859282219248586,0.8826111111111111
PD_V02_control_V02,0.5945774647887324,0.632468253968254,0.5891793290688448,0.5946571428571429
