Comparison,Accuracy,AUC,Precision,Recall
Prodromal_V08_control_V08,0.68725,0.75603125,0.6987904761904762,0.7015
Prodromal_V08_control_V02,0.715125,0.7726875,0.7389571428571428,0.715
Prodromal_V08_control_BL,0.646,0.6901875,0.6586,0.6515
Prodromal_V08_control_V04,0.65825,0.718375,0.6691071428571429,0.669
Prodromal_V08_control_V06,0.745875,0.7876875,0.7470190476190476,0.7885
Prodromal_V02_control_V08,0.9127083333333332,0.9715347222222221,0.9270066127499952,0.90225
Prodromal_V02_control_V02,0.7133333333333334,0.8101597222222222,0.7218081609395077,0.71275
Prodromal_V02_control_BL,0.870875,0.9461319444444445,0.8796096904729258,0.8700833333333332
Prodromal_V02_control_V04,0.85525,0.9239861111111111,0.8545254798306269,0.8686666666666667
Prodromal_V02_control_V06,0.8837916666666668,0.9556875,0.9119598863554745,0.8575833333333333
Prodromal_BL_control_V08,0.594625,0.6196527777777778,0.59682434282264,0.6048333333333332
Prodromal_BL_control_V02,0.8145416666666667,0.9035625,0.8196360192911664,0.81875
Prodromal_BL_control_BL,0.5721666666666667,0.5982256944444445,0.5754558840540265,0.5689166666666666
Prodromal_BL_control_V04,0.528,0.5441215277777778,0.5288303828610329,0.542
Prodromal_BL_control_V06,0.5940416666666666,0.6046666666666666,0.5970518058266123,0.5955
Prodromal_V04_control_V08,0.8427083333333334,0.9183055555555557,0.8525073264970324,0.8416666666666667
Prodromal_V04_control_V02,0.7342083333333334,0.8308854166666667,0.7415350754723432,0.7365
Prodromal_V04_control_BL,0.8357083333333335,0.9094444444444445,0.8417343560722044,0.8406666666666667
Prodromal_V04_control_V04,0.82575,0.8737152777777777,0.8253839297097811,0.8411666666666667
Prodromal_V04_control_V06,0.8547083333333334,0.9234444444444445,0.8586195136433914,0.85875
Prodromal_V06_control_V08,0.8617083333333333,0.9292777777777779,0.8681128132488427,0.8633333333333333
Prodromal_V06_control_V02,0.8210416666666668,0.9066666666666667,0.8320310905468801,0.81725
Prodromal_V06_control_BL,0.8554166666666667,0.925375,0.86394447227609,0.8545833333333333
Prodromal_V06_control_V04,0.8722916666666666,0.9328680555555555,0.881296573756481,0.8713333333333333
Prodromal_V06_control_V06,0.825875,0.9040694444444444,0.8612383636788049,0.788
