Comparison,Accuracy,AUC,Precision,Recall
Prodromal_V06_PD_V06,0.8485416666666667,0.9059722222222222,0.852091619654855,0.8540833333333333
Prodromal_V06_PD_BL,0.83425,0.9112222222222222,0.8510329738072386,0.8229166666666666
Prodromal_V06_PD_V02,0.8463333333333334,0.9311736111111111,0.8449991608752445,0.8614166666666666
Prodromal_V06_PD_V04,0.86325,0.9285069444444444,0.8654741711590784,0.8713333333333333
Prodromal_V06_PD_V08,0.8649166666666667,0.9287083333333332,0.8767580736257208,0.85925
Prodromal_BL_PD_V06,0.5062083333333333,0.51371875,0.505923267582091,0.5200833333333332
Prodromal_BL_PD_BL,0.5689166666666666,0.5982569444444444,0.5735372899546274,0.5635833333333333
Prodromal_BL_PD_V02,0.8602916666666668,0.9356666666666668,0.8525676591339518,0.8829166666666667
Prodromal_BL_PD_V04,0.554125,0.57546875,0.5568476094124314,0.5546666666666666
Prodromal_BL_PD_V08,0.5779166666666666,0.591375,0.5792788634739873,0.5838333333333334
Prodromal_V02_PD_V06,0.8799583333333334,0.952576388888889,0.8937632801022507,0.8721666666666666
Prodromal_V02_PD_BL,0.839,0.9201597222222222,0.8526125714971303,0.8331666666666666
Prodromal_V02_PD_V02,0.797375,0.8833402777777778,0.8084819833761011,0.7930833333333333
Prodromal_V02_PD_V04,0.8764583333333332,0.9613472222222221,0.8877341148230855,0.8711666666666666
Prodromal_V02_PD_V08,0.89925,0.9689375,0.9069183941058943,0.8976666666666666
Prodromal_V04_PD_V06,0.85625,0.9191111111111111,0.8788673005915653,0.83575
Prodromal_V04_PD_BL,0.8319583333333332,0.8865347222222222,0.8524623818862597,0.8146666666666667
Prodromal_V04_PD_V02,0.7909166666666666,0.8875347222222222,0.8001807153716596,0.79075
Prodromal_V04_PD_V04,0.8345833333333332,0.8918958333333333,0.8487474390805273,0.8260833333333334
Prodromal_V04_PD_V08,0.8138333333333333,0.8816875,0.8340351524980008,0.7968333333333334
Prodromal_V08_PD_V06,0.6275,0.6575,0.638852380952381,0.65575
Prodromal_V08_PD_BL,0.8395,0.92725,0.8549833333333333,0.852
Prodromal_V08_PD_V02,0.747375,0.772,0.7710190476190476,0.75
Prodromal_V08_PD_V04,0.733125,0.7745,0.7637857142857142,0.743
Prodromal_V08_PD_V08,0.68425,0.73053125,0.6938142857142857,0.708
