Comparison,Accuracy,AUC,Precision,Recall
PD_V08_control_V08,0.564875,0.5808837890625,0.5667355301054495,0.5595625
PD_V08_control_V04,0.5612916666666667,0.5963132716049382,0.5653927717412532,0.5358055555555555
PD_V08_control_V02,0.8044084507042254,0.8954944444444444,0.8024729575464976,0.8049714285714288
PD_V08_control_V06,0.5367121212121211,0.5487217630853994,0.5379982593275234,0.5286363636363635
PD_V08_control_BL,0.6068552631578948,0.6403144044321329,0.6143625379654801,0.579421052631579
PD_V04_control_V08,0.585875,0.6289580078125,0.585036352577259,0.59575
PD_V04_control_V04,0.5628333333333333,0.6081944444444445,0.5659030515346888,0.5484166666666668
PD_V04_control_V02,0.7875352112676057,0.8689944444444445,0.7950320251320091,0.7720857142857144
PD_V04_control_V06,0.564590909090909,0.5782598714416897,0.5626021883595781,0.5850303030303031
PD_V04_control_BL,0.5819736842105263,0.6314716066481995,0.5824350513823016,0.586421052631579
PD_V02_control_V08,0.7990625,0.8715615234375,0.8033665634988862,0.797125
PD_V02_control_V04,0.781375,0.8574336419753087,0.7867351544148089,0.7783333333333332
PD_V02_control_V02,0.5468169014084506,0.5781888888888889,0.5399103212799278,0.5556285714285714
PD_V02_control_V06,0.7707575757575758,0.8469706152433425,0.7789388526629776,0.7614242424242423
PD_V02_control_BL,0.7526315789473683,0.8294425207756233,0.7604574513010224,0.7428684210526316
PD_V06_control_V08,0.57578125,0.6019482421875,0.5774623399359459,0.57575
PD_V06_control_V04,0.583,0.6258117283950617,0.5906358580923903,0.5458888888888889
PD_V06_control_V02,0.7806760563380283,0.8645,0.7840588873637835,0.7716571428571429
PD_V06_control_V06,0.531969696969697,0.5519072543617998,0.5345108224821253,0.5067575757575757
PD_V06_control_BL,0.6038947368421052,0.6447070637119113,0.611023964925715,0.5792894736842107
PD_BL_control_V08,0.624765625,0.670716796875,0.6284156502595672,0.619
PD_BL_control_V04,0.5936111111111111,0.6302569444444444,0.6013754703081449,0.5633333333333332
PD_BL_control_V02,0.780380281690141,0.8628341269841269,0.7850443900945718,0.7685428571428572
PD_BL_control_V06,0.5898636363636364,0.6333921028466483,0.5911273246495137,0.5931818181818183
PD_BL_control_BL,0.5359342105263158,0.5704016620498614,0.5369041180280701,0.5268947368421052
