Comparison,Accuracy,AUC,Precision,Recall
Prodromal_V06_control_V06,0.767625,0.8550277777777778,0.7822706206375324,0.75775
Prodromal_V06_control_V04,0.7621666666666668,0.8540763888888889,0.7613374006454502,0.782
Prodromal_V06_control_V08,0.825375,0.8854444444444446,0.8281752507167756,0.8353333333333333
Prodromal_V06_control_BL,0.8054583333333333,0.8850833333333332,0.8051788932343886,0.82125
Prodromal_V06_control_V02,0.77075,0.810951388888889,0.7621898131022744,0.8053333333333332
Prodromal_V04_control_V06,0.7441666666666666,0.8171597222222222,0.7541375704318042,0.742
Prodromal_V04_control_V04,0.7727083333333333,0.8397083333333334,0.779187907611824,0.77975
Prodromal_V04_control_V08,0.7885833333333334,0.8449027777777778,0.7855908639992618,0.8126666666666666
Prodromal_V04_control_BL,0.828,0.8832777777777778,0.822962683463767,0.8503333333333334
Prodromal_V04_control_V02,0.736,0.793513888888889,0.7314567081740069,0.7669166666666667
Prodromal_V08_control_V06,0.814125,0.8896875,0.8468547619047618,0.802
Prodromal_V08_control_V04,0.83,0.8949375,0.8283785714285714,0.86225
Prodromal_V08_control_V08,0.8965,0.956375,0.9124976190476191,0.8985
Prodromal_V08_control_BL,0.795875,0.865,0.8050714285714285,0.82625
Prodromal_V08_control_V02,0.572875,0.5829375,0.5779857142857142,0.619
Prodromal_BL_control_V06,0.6515,0.6732222222222222,0.6520186559656375,0.669
Prodromal_BL_control_V04,0.6012083333333333,0.6350277777777779,0.6051914944876244,0.6011666666666667
Prodromal_BL_control_V08,0.66175,0.6883333333333334,0.6624279764095554,0.6775833333333332
Prodromal_BL_control_BL,0.606,0.6624166666666667,0.6047133125603327,0.6399166666666666
Prodromal_BL_control_V02,0.6684166666666668,0.7130833333333333,0.6703434554265822,0.6816666666666668
Prodromal_V02_control_V06,0.7771666666666667,0.8487777777777779,0.7913077582419301,0.7680833333333333
Prodromal_V02_control_V04,0.7700416666666666,0.8482708333333335,0.7799091912731231,0.76775
Prodromal_V02_control_V08,0.7836666666666666,0.8428819444444443,0.7833372411772954,0.8005833333333334
Prodromal_V02_control_BL,0.794375,0.8715277777777778,0.8078151957390735,0.788
Prodromal_V02_control_V02,0.69325,0.7515972222222221,0.6954151945448771,0.7076666666666668
