Comparison,Accuracy,AUC,Precision,Recall
Prodromal_V04_PD_V04,0.8122083333333333,0.869625,0.8150449689285603,0.82175
Prodromal_V04_PD_V06,0.7486666666666666,0.8112569444444445,0.7559133009147715,0.7514166666666667
Prodromal_V04_PD_BL,0.771625,0.868638888888889,0.7871986110294934,0.7606666666666667
Prodromal_V04_PD_V08,0.719,0.7714652777777778,0.7379842599952507,0.6980833333333333
Prodromal_V04_PD_V02,0.6895,0.7637916666666666,0.7008019433567808,0.68525
Prodromal_V06_PD_V04,0.7906666666666667,0.8880902777777778,0.7944692568052862,0.7995833333333333
Prodromal_V06_PD_V06,0.7852916666666667,0.8654027777777779,0.7820609608614639,0.80775
Prodromal_V06_PD_BL,0.7982083333333333,0.8774375,0.7969888899370323,0.8160833333333334
Prodromal_V06_PD_V08,0.7726666666666666,0.8381875,0.7922267736434533,0.755
Prodromal_V06_PD_V02,0.68475,0.7723541666666668,0.6965578033937166,0.6755833333333334
Prodromal_BL_PD_V04,0.6324166666666667,0.6650208333333333,0.630330691590831,0.6574166666666666
Prodromal_BL_PD_V06,0.5806666666666668,0.5917152777777777,0.5796455646134052,0.6080833333333333
Prodromal_BL_PD_BL,0.5605833333333333,0.5886527777777778,0.5594983219953422,0.5854166666666667
Prodromal_BL_PD_V08,0.564625,0.5812916666666668,0.5666467877280957,0.5685
Prodromal_BL_PD_V02,0.6221666666666668,0.6938125,0.6201274787390113,0.6500833333333333
Prodromal_V08_PD_V04,0.781,0.8649375,0.8006761904761904,0.7975
Prodromal_V08_PD_V06,0.768,0.8374375,0.7921904761904761,0.76825
Prodromal_V08_PD_BL,0.861125,0.9493125,0.8781285714285715,0.87775
Prodromal_V08_PD_V08,0.7845,0.882125,0.7884214285714286,0.82475
Prodromal_V08_PD_V02,0.611625,0.67575,0.6195095238095238,0.64775
Prodromal_V02_PD_V04,0.7459166666666668,0.8176875,0.7507631432293197,0.75625
Prodromal_V02_PD_V06,0.7520416666666666,0.8212430555555555,0.7723988217922428,0.7343333333333334
Prodromal_V02_PD_BL,0.767625,0.8622916666666667,0.7761459326621091,0.7683333333333334
Prodromal_V02_PD_V08,0.746375,0.8224027777777778,0.7532926364356317,0.7496666666666666
Prodromal_V02_PD_V02,0.6637916666666668,0.7160902777777778,0.662975149626775,0.69
