Comparison,Accuracy,AUC,Precision,Recall
PD_V08_control_V08,0.55340625,0.583521484375,0.5535538945332396,0.55878125
PD_V08_control_BL,0.6438421052631579,0.7052887811634349,0.6483062443419214,0.6349473684210527
PD_V08_control_V04,0.6270833333333333,0.6750563271604938,0.6303515407690231,0.6208888888888889
PD_V08_control_V02,0.8821971830985915,0.9417253968253968,0.8865684008522433,0.8761714285714288
PD_V08_control_V06,0.5811212121212121,0.614179981634527,0.5825657883662343,0.579939393939394
PD_BL_control_V08,0.609625,0.652494140625,0.6087033223318774,0.62146875
PD_BL_control_BL,0.538671052631579,0.5702652354570636,0.5393637665994402,0.5368421052631579
PD_BL_control_V04,0.5619861111111111,0.5877800925925926,0.562648101914382,0.56375
PD_BL_control_V02,0.8712676056338028,0.9320150793650793,0.8736456062176002,0.8674857142857145
PD_BL_control_V06,0.5795454545454546,0.6167998163452709,0.5793030122551008,0.589060606060606
PD_V04_control_V08,0.58446875,0.608294921875,0.5844131419092735,0.5930625
PD_V04_control_BL,0.5803552631578948,0.6241835180055402,0.5822610332579427,0.5768684210526316
PD_V04_control_V04,0.560763888888889,0.5895740740740741,0.5606406252321151,0.5705
PD_V04_control_V02,0.8898591549295775,0.9479420634920634,0.8954704815334523,0.8820857142857145
PD_V04_control_V06,0.5603333333333332,0.5950229568411387,0.5612665043997006,0.5620909090909091
PD_V02_control_V08,0.846859375,0.917634765625,0.8464025091257841,0.85228125
PD_V02_control_BL,0.8363421052631579,0.9097846260387811,0.8349617108636864,0.8428947368421053
PD_V02_control_V04,0.8189444444444444,0.883679012345679,0.8132282127734918,0.8332777777777778
PD_V02_control_V02,0.5589577464788733,0.5810095238095236,0.5528570454385715,0.5610857142857142
PD_V02_control_V06,0.8124545454545455,0.879860422405877,0.8125265240029653,0.8177272727272727
PD_V06_control_V08,0.556015625,0.5662607421875,0.5584303373647813,0.5484375
PD_V06_control_BL,0.6027631578947369,0.6330775623268698,0.608262807082132,0.5857368421052631
PD_V06_control_V04,0.5705833333333332,0.5938356481481482,0.5722339163036243,0.5666944444444445
PD_V06_control_V02,0.8692535211267605,0.9370150793650792,0.8776807732976766,0.8569428571428573
PD_V06_control_V06,0.521030303030303,0.5281662075298439,0.5210304995903154,0.5291818181818182
