Comparison,Accuracy,AUC,Precision,Recall
Prodromal_V06_control_V06,0.8617916666666666,0.9329166666666667,0.8680259279119573,0.8629166666666668
Prodromal_V06_control_V08,0.86475,0.9387361111111112,0.8765103403948993,0.8579166666666667
Prodromal_V06_control_V04,0.86525,0.9376180555555556,0.8606963365882484,0.8839166666666665
Prodromal_V06_control_BL,0.8546666666666668,0.9239236111111111,0.8494032802852461,0.8745
Prodromal_V06_control_V02,0.800125,0.8718333333333333,0.82696778050381,0.77225
Prodromal_V08_control_V06,0.786,0.8621875,0.7983214285714284,0.79975
Prodromal_V08_control_V08,0.76475,0.8783125,0.7947190476190477,0.76375
Prodromal_V08_control_V04,0.681,0.75875,0.6915809523809523,0.6985
Prodromal_V08_control_BL,0.69525,0.7874375,0.7035190476190476,0.726
Prodromal_V08_control_V02,0.7175,0.8031875,0.742097619047619,0.7165
Prodromal_V04_control_V06,0.7882083333333334,0.8733263888888889,0.794937347525196,0.7921666666666668
Prodromal_V04_control_V08,0.811625,0.9007777777777777,0.8154249231160996,0.8204166666666667
Prodromal_V04_control_V04,0.8395,0.9064444444444445,0.8312805673643522,0.8663333333333333
Prodromal_V04_control_BL,0.8067083333333334,0.8858194444444445,0.8020430979581135,0.8323333333333334
Prodromal_V04_control_V02,0.6809583333333333,0.7454583333333333,0.6908162090446534,0.6768333333333334
Prodromal_BL_control_V06,0.5407083333333332,0.5531180555555555,0.5435233346761598,0.53675
Prodromal_BL_control_V08,0.56775,0.5916875,0.5712005799798756,0.5721666666666667
Prodromal_BL_control_V04,0.5731666666666667,0.5903472222222221,0.574633176902217,0.5824166666666666
Prodromal_BL_control_BL,0.58825,0.6057638888888889,0.590640977404948,0.5984166666666667
Prodromal_BL_control_V02,0.7399166666666668,0.8124375,0.7427285584470569,0.753
Prodromal_V02_control_V06,0.833375,0.8996458333333333,0.8406942984861715,0.838
Prodromal_V02_control_V08,0.84025,0.9048402777777779,0.8620418822190881,0.8218333333333334
Prodromal_V02_control_V04,0.8647083333333334,0.9284444444444444,0.8674744147192678,0.8714166666666666
Prodromal_V02_control_BL,0.78875,0.8568541666666667,0.7934218341041482,0.7983333333333332
Prodromal_V02_control_V02,0.706,0.768263888888889,0.7153619824447996,0.706
