Comparison,Accuracy,AUC,Precision,Recall
Prodromal_V08_PD_V08,0.644625,0.715875,0.6577809523809524,0.66625
Prodromal_V08_PD_BL,0.822375,0.89075,0.838997619047619,0.835
Prodromal_V08_PD_V02,0.742,0.812,0.7468309523809523,0.785
Prodromal_V08_PD_V04,0.85,0.90575,0.865152380952381,0.85875
Prodromal_V08_PD_V06,0.724125,0.767375,0.7391785714285714,0.7425
Prodromal_BL_PD_V08,0.6252916666666667,0.6607222222222222,0.6250176705432511,0.647
Prodromal_BL_PD_BL,0.5970416666666666,0.6330208333333333,0.598422202741359,0.6084166666666666
Prodromal_BL_PD_V02,0.8014166666666667,0.8748680555555555,0.7997829249869498,0.8219166666666667
Prodromal_BL_PD_V04,0.56425,0.5937708333333334,0.5664903529691842,0.5661666666666666
Prodromal_BL_PD_V06,0.5995416666666668,0.6250138888888889,0.6011184413539676,0.62
Prodromal_V02_PD_V08,0.80425,0.8790972222222222,0.8135881611036022,0.8021666666666667
Prodromal_V02_PD_BL,0.8147916666666667,0.9014166666666666,0.8205529840257781,0.8200833333333333
Prodromal_V02_PD_V02,0.7590416666666666,0.8235416666666667,0.7650180316286741,0.7643333333333334
Prodromal_V02_PD_V04,0.8345833333333333,0.91575,0.8361592739046301,0.8454166666666667
Prodromal_V02_PD_V06,0.7887083333333332,0.8785625,0.792781276484953,0.79475
Prodromal_V04_PD_V08,0.7988333333333334,0.8664722222222222,0.798862282802337,0.8139166666666667
Prodromal_V04_PD_BL,0.8472083333333333,0.9221111111111111,0.8435664279348102,0.865
Prodromal_V04_PD_V02,0.7604166666666667,0.8191527777777778,0.7659587770073064,0.7668333333333334
Prodromal_V04_PD_V04,0.8445,0.9214375,0.8462406095409578,0.8558333333333333
Prodromal_V04_PD_V06,0.8074583333333334,0.8947638888888888,0.8094384858605447,0.8175
Prodromal_V06_PD_V08,0.828,0.9024583333333334,0.8447244502229796,0.8146666666666667
Prodromal_V06_PD_BL,0.8785416666666668,0.9444375,0.8974217803438391,0.8629166666666667
Prodromal_V06_PD_V02,0.856375,0.9198819444444446,0.8584961110784641,0.86425
Prodromal_V06_PD_V04,0.8744583333333333,0.9522361111111111,0.8777820281026164,0.8785833333333333
Prodromal_V06_PD_V06,0.8397083333333333,0.9171944444444444,0.8448585023636495,0.8428333333333332
