,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
BMX,250.0215918020323,-0.39579879580483435,0.0664123857676174,-5.959713556892355,2.526804522597732e-09,2.792371677922754e-05
PRRG4,1326.579009408892,-0.2983461666949473,0.05188651872451428,-5.7499746375158285,8.925683760705563e-09,3.287924374651906e-05
TMCC3,3073.2561050795152,-0.22611642861037462,0.03890914708281564,-5.811395149040409,6.195433195078656e-09,3.287924374651906e-05
KPNB1,6158.339513566254,-0.16348306524123976,0.02893392094603817,-5.65022160481243,1.602411255356141e-08,3.615380146543967e-05
LSMEM1,349.4299056545185,-0.2500574096107173,0.044283979966894906,-5.6466787718188645,1.6357705848085996e-08,3.615380146543967e-05
HAPSTR1,10103.442204930701,-0.12752461832120499,0.02340658731443585,-5.448236285285172,5.0871747843960424e-08,9.313560336190064e-05
CXorf38,1970.7860630511916,-0.09117596693293588,0.01685902960550217,-5.408138491148944,6.368317420682378e-08,9.313560336190064e-05
SLA,14557.363510239249,-0.15613828208621638,0.02892570224188499,-5.397908088126727,6.742238954802326e-08,9.313560336190064e-05
RNF149,22225.664820793605,-0.1741415626409449,0.03249149266230741,-5.3596048802941665,8.340416320985315e-08,0.00010241104529245413
RAB27A,3280.1365043941273,-0.1401492273777035,0.026252509211942856,-5.3385078830463355,9.371463285923506e-08,0.00010356404077274065
MCTP2,10101.064308106521,-0.19270918896834313,0.03654648827117685,-5.27298785969341,1.342204453467976e-07,0.00011409770319442003
ROPN1L,418.13924209040914,-0.23242792166497486,0.044041336932429585,-5.277494686902384,1.3096200040761338e-07,0.00011409770319442003
PPP1R3B,4753.469014657247,-0.21614557031425993,0.04079843552341696,-5.297888694535835,1.1714933762630802e-07,0.00011409770319442003
FBXL13,835.5419679164169,-0.2844980212736682,0.05411575839897101,-5.257212126201631,1.4625557947173212e-07,0.00011544788633872227
MSL1,8824.558391352703,-0.16805414806356217,0.03213101549168259,-5.230278143778698,1.692551884477147e-07,0.00012469593916904635
SYTL3,1490.4601980690254,-0.18936268628328481,0.03653649662982746,-5.182836444386788,2.1853666591237508e-07,0.00012710782605250827
LITAF,14622.384226462234,-0.20473684890872865,0.03949501792920496,-5.183865197269199,2.173340432126795e-07,0.00012710782605250827
CFLAR,37589.910569534,-0.15282773112352468,0.029450394690357682,-5.1893270949459245,2.1105537495013903e-07,0.00012710782605250827
RNASEL,2966.245229183612,-0.13325829709036302,0.02568050174473417,-5.18908463763516,2.1133033234675026e-07,0.00012710782605250827
TGFA,867.9679917807542,-0.21390893870394498,0.0413595771986847,-5.171932432393134,2.316853676326407e-07,0.0001280177498854156
YIPF1,646.8615944143111,-0.11589957334572662,0.02253432312965295,-5.143246268320978,2.700312733116248e-07,0.00012974415658116372
CPD,8626.774066610216,-0.18742478245057761,0.0363957216656587,-5.149637756116342,2.609900275929034e-07,0.00012974415658116372
ACSL1,27698.242956394617,-0.27031583463872716,0.0524005772999902,-5.158642300659876,2.4874701643942865e-07,0.00012974415658116372
CEMIP2,6259.913913293117,-0.11292203489643877,0.022094381725711314,-5.110893633426772,3.2063848275175105e-07,0.00014173503491558405
VNN3P,3580.0079561512944,-0.2556992406207898,0.05000853887228477,-5.11311160827578,3.168949359361341e-07,0.00014173503491558405
LMTK2,2109.586965119869,-0.19376759420713505,0.03814832464803463,-5.079321202041773,3.787858236773855e-07,0.0001609985437484149
FPR2,6355.1769089279305,-0.2413891535157705,0.04775284811068808,-5.054968720530464,4.3046131347875097e-07,0.0001698938562590599
TMEM252,128.4663750099801,-0.2821078672041999,0.05574341976139502,-5.06082813741494,4.1743936598361075e-07,0.0001698938562590599
CA4,352.5375523354672,-0.2904591601854398,0.05759585784965607,-5.043056411168192,4.5815411027611023e-07,0.00017458831285038946
ARHGAP19,1422.6405894666714,-0.14342047959705095,0.02847670630104,-5.036413905487836,4.7433430719185036e-07,0.0001747289476259046
NUP50,5703.269455239593,-0.1218584101651785,0.024232699902855554,-5.0286765673526475,4.938766165382755e-07,0.00017605904804401557
TLK2,2454.1792245387487,-0.06825191457941988,0.013599320891895497,-5.018773740392769,5.200235338211112e-07,0.0001795868772580344
MXD1,25392.86891963624,-0.20453507619005296,0.0409560110240027,-4.994018486570457,5.913573351520388e-07,0.00019220852678721118
APMAP,4816.522191041202,-0.18218237384403801,0.03644819465978737,-4.998392253568503,5.781029439905119e-07,0.00019220852678721118
CISD2,1188.293044566652,0.2784371534553848,0.056373137137192914,4.939181454063203,7.8451185586285e-07,0.0001983818804917641
RNF169,5600.351949372977,-0.11135223927750074,0.02242214519234418,-4.9661724300813495,6.828724375842273e-07,0.0001983818804917641
DNAJC3,3989.735509351052,-0.1520283427458692,0.03067647783164074,-4.955860434181336,7.20108945194554e-07,0.0001983818804917641
KIAA0040,3916.010599499443,-0.13620054257985584,0.027443113599699802,-4.96301347458423,6.940776479403593e-07,0.0001983818804917641
IST1,4631.444448441621,-0.08075912030825068,0.016353093595702268,-4.938461327554247,7.874138930540234e-07,0.0001983818804917641
AQP9,15156.085236225194,-0.22038961688237418,0.04432512314019597,-4.9721151633421,6.622634307605363e-07,0.0001983818804917641
CLEC4E,2770.1097373504444,-0.25313945191393356,0.051212454537168696,-4.942927539827473,7.695809299948439e-07,0.0001983818804917641
BOD1L1,14062.30061252402,-0.14307884150296712,0.028960168816140743,-4.940538931638518,7.790693483567234e-07,0.0001983818804917641
TRANK1,12888.135381168058,-0.18741560442960606,0.0377754624432915,-4.961305363526766,7.002101151015731e-07,0.0001983818804917641
HEBP2,3976.6489408173215,-0.12741578557596717,0.02580387354987405,-4.937854982496962,7.898654186623491e-07,0.0001983818804917641
MAP3K5,6523.739830071159,-0.1312344434537991,0.026687294735507117,-4.917487694217027,8.766196564652772e-07,0.0002038071878318359
LCP1,45211.171416242134,-0.14016031013217983,0.02851353021899562,-4.915571977783568,8.852361791628019e-07,0.0002038071878318359
KIF13A,3676.161834057466,-0.18943098355135363,0.03847413863062885,-4.923592581759572,8.496964848923828e-07,0.0002038071878318359
CKLF,953.1958516213713,-0.15024494415634815,0.030531405227255837,-4.920996693012422,8.610458569976911e-07,0.0002038071878318359
KAT6A,11184.968243583919,-0.11306285185039258,0.023051531688324283,-4.904786952081778,9.352879896593425e-07,0.00021041742258646594
ZNF106,8970.651922250569,-0.13130750219045692,0.026790323139872174,-4.90130341111979,9.520288778683646e-07,0.00021041742258646594
HSDL2,2061.9738667059755,-0.17487686783677767,0.03575401258664398,-4.891111659509329,1.0026806005793209e-06,0.00021726712386278577
CWC25,1129.154560700795,-0.09197570015844404,0.018876786734271633,-4.872423546082561,1.1023752125943616e-06,0.00023427593219962098
ZNF200,1249.3500697538843,-0.11220792458336894,0.023121181879618806,-4.853035851176778,1.2158570013848349e-06,0.0002482323018140316
DIP2B,7087.74693542364,-0.1342268676303864,0.02764517620264269,-4.855344984835193,1.201773354546471e-06,0.0002482323018140316
CR1,6345.37298940786,-0.2250985939783752,0.04641333978286675,-4.849868486763566,1.2354335896997318e-06,0.0002482323018140316
TMEM81,150.03584985091322,-0.0999269659136674,0.020724327366389496,-4.8217229995955355,1.4232349328663928e-06,0.0002808601650554733
STX3,5516.656783578673,-0.1969050184016844,0.04087757875489418,-4.816944261360132,1.4577338721022533e-06,0.0002826213512386316
NDEL1,6859.345526509723,-0.17117188186640572,0.035570608883196894,-4.812171825016612,1.4929890573217232e-06,0.00028446589780107526
LMNB1,1970.2916042734294,-0.21920608185500592,0.04568616092685882,-4.7980849650716655,1.601898293033951e-06,0.0002965670023258664
RAF1,7791.082490521742,-0.14983687421763744,0.031235194809022062,-4.797052655946878,1.610172847665549e-06,0.0002965670023258664
STK4,21826.343321570483,-0.09907189576999789,0.02076496215666498,-4.771108900778735,1.8321444431561617e-06,0.0003271525999183033
UBXN2B,3176.437692624838,-0.15535969968928567,0.032565069060256475,-4.770746820828701,1.8354412446778393e-06,0.0003271525999183033
CEP63,3109.599462661977,-0.13954995095394782,0.029272838677821725,-4.767216206458188,1.867888311814604e-06,0.0003276513291089395
ENSG00000112096,51155.41158408618,-0.20236379927433634,0.04269339138585397,-4.7399326384126885,2.1378928204345987e-06,0.0003691539618534805
NRDC,6161.334414137277,-0.11416035768022183,0.02412982434356773,-4.731089462350498,2.233180703430226e-06,0.0003739224235395065
TACC1,8101.133573835979,-0.10991726314945906,0.02321880162347304,-4.733976582078991,2.2016313970202717e-06,0.0003739224235395065
STEAP4,12400.308334161246,-0.22476589099070549,0.04761802802113167,-4.7201847773066135,2.3563049914697126e-06,0.00038449402647725494
ABHD5,6957.486711365659,-0.20089843925020587,0.04256902006034868,-4.719357856145122,2.3659029771471667e-06,0.00038449402647725494
IP6K2,1226.4519830158442,-0.0703484882132336,0.014916932667515793,-4.7160156703280975,2.4050791971368016e-06,0.0003851960899646202
ARHGAP25,10476.29884398112,-0.11823980663582448,0.025095274061277255,-4.711636396044464,2.457355399635687e-06,0.000386777257559901
RAB11FIP1,10454.920604957584,-0.17489298409489884,0.037139489338448066,-4.709084244565627,2.4883221637055835e-06,0.000386777257559901
SRPK1,2831.8819808726835,-0.17466048650338967,0.0371104122430314,-4.706508926916797,2.519949556086587e-06,0.000386777257559901
SPTY2D1,1100.0580794660336,-0.07994382034895767,0.017011325510943972,-4.6994468654148704,2.608670816453958e-06,0.00039490987935113275
TMEM140,4541.115200768075,-0.18124299240834865,0.03860473341966208,-4.69483859500085,2.6681731501783796e-06,0.0003984592092246118
GPAT3,1417.4344481670237,-0.19916815922100878,0.04249888358890876,-4.686432734270392,2.7800813326800975e-06,0.0004096357174326368
PSEN1,5366.091759853723,-0.1136782136906141,0.02427570644143672,-4.682797345768456,2.8298625467913033e-06,0.00041148435532356174
B4GALT5,3535.311568067647,-0.1999519552599332,0.04276981378101016,-4.675071915994922,2.9385062743597874e-06,0.00042173289399935075
ENSG00000282988,313.06046043812154,-0.23881398312373475,0.05113035129274538,-4.670689269401104,3.0019074339125007e-06,0.0004253087057970134
TMEM71,5223.828344343054,-0.14323413727693352,0.030693544488388198,-4.666588354796267,3.0624199137473933e-06,0.0004283899046433221
PHF7,186.69063642151494,0.09197788779666415,0.019752984917674316,4.656404496839634,3.2177943981060465e-06,0.00044449807366837396
GABARAPL1,3186.9276315762877,-0.15400315029405343,0.03317033257695985,-4.642797895883148,3.437225358548831e-06,0.00046894786959658186
MTARC1,1346.7620975186755,-0.23549936296061963,0.050787450915627155,-4.636959696044858,3.53571321356863e-06,0.0004709822537194397
APAF1,8747.941421927948,-0.14749667727018162,0.031809585807368736,-4.636862553426075,3.53737463204357e-06,0.0004709822537194397
ANKRD13A,8463.245601461222,-0.11568929942554255,0.02496373640057788,-4.634294224596302,3.5815729513137143e-06,0.000471190031963903
NFIL3,763.7720379703536,-0.195923883769413,0.04235323743421156,-4.625948230610398,3.7288843776682014e-06,0.0004764809413744352
RTF1,1203.1223668068362,-0.07881805195477737,0.0170513957588756,-4.622381244875568,3.7935999046754923e-06,0.0004764809413744352
STS,261.6226369987052,-0.1394520769677885,0.030166967358351407,-4.622674706119661,3.7882352761117364e-06,0.0004764809413744352
CRISPLD2,3100.545878863891,-0.281193091803734,0.06083342297312915,-4.6223453828652765,3.7942559805402497e-06,0.0004764809413744352
PLXNC1,17639.557528820747,-0.16748445310834903,0.03630336254118986,-4.6134694249966754,3.960025400469087e-06,0.00048696232441406914
BIN2,6399.439804496839,-0.09104164084929138,0.019735183819300048,-4.613164066921793,3.965850076668738e-06,0.00048696232441406914
CCN3,340.20949757435113,-0.2651359260720293,0.057517269281057375,-4.609675135591819,4.032986693087988e-06,0.0004897641312672017
KDM5B,2367.0827059342605,-0.10211743830517248,0.02218494334954718,-4.603006493918174,4.164352389518803e-06,0.0005002201984410031
IQGAP1,23770.963940306774,-0.14644992467907472,0.03183935918516147,-4.599650508899903,4.232003380769206e-06,0.0005028803157083924
RBBP5,1778.8013097231883,-0.0756992429241458,0.016487886171538853,-4.591203634994565,4.406970916604392e-06,0.0005181003787169695
