,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CACNA1A,124.98892032147839,-1.5557249363098162,0.3475125732363641,-4.476744314087521,7.578992679586128e-06,0.0935929806002091
FHDC1,92.26428252836494,-0.4918846550813318,0.12481898711293408,-3.9407839020219173,8.121576663123662e-05,0.12840452927386145
COL4A1,64.51195958009093,-1.1386198216580585,0.28878716714322006,-3.942764607311569,8.05477036632667e-05,0.12840452927386145
NRXN2,56.36473175057973,-1.0758138579919587,0.2718963519764512,-3.9567057453022922,7.599044070931599e-05,0.12840452927386145
FARP1,108.19560681974926,-1.3150054197921628,0.3247440053416226,-4.049360105689433,5.135786701693092e-05,0.12840452927386145
IFI27,408.748798502168,-1.1111203009940664,0.27031168210579815,-4.110515284941261,3.9477714538774864e-05,0.12840452927386145
RTN2,95.02465610132998,-0.436788155813561,0.10477810777693213,-4.168696735232739,3.0634627163567e-05,0.12840452927386145
ARHGEF4,61.26514685484815,-0.996724208069726,0.25329472611310905,-3.935037351013134,8.31837585384154e-05,0.12840452927386145
RHCE,64.62747097401218,-0.5649401995549962,0.1470891161610049,-3.84080219053467,0.00012263290565950438,0.14204968737286544
PITPNM3,62.57789593336339,-0.9617078267076671,0.25089477962505585,-3.833112144241782,0.00012653223427820225,0.14204968737286544
HBM,228.26111388361548,-0.6469412185650969,0.16798674401679148,-3.8511444599487596,0.0001175671196723702,0.14204968737286544
PDZD7,41.099793654784406,-0.8624204123408175,0.23240733731887156,-3.7108140486870447,0.00020659382342754602,0.14569274257863263
ENSG00000282988,278.78728830092194,-0.34354330034469194,0.09176944982144827,-3.74354756417423,0.00018144023676803484,0.14569274257863263
E2F1,63.46346495186084,-0.403033229535939,0.11066571779130205,-3.6418977582199,0.0002706355643191887,0.14569274257863263
PLCD3,35.380751828922925,-0.8243110008205822,0.2252803731151283,-3.6590449022353253,0.0002531569850664656,0.14569274257863263
ADGRB2,57.401566748226394,-0.9459329115040892,0.25360847871831727,-3.7298946639506334,0.0001915598377226396,0.14569274257863263
FAM89B,102.44609058698482,-0.24270904488575462,0.06649462510408355,-3.6500550910068883,0.0002621840704366214,0.14569274257863263
MST1,58.15191827416696,-0.38008190842214806,0.10103147481824741,-3.7620148484014906,0.0001685500386543479,0.14569274257863263
